epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,test_mi_loss,train_acc,train_loss,train_mi_loss,val_acc,val_bal_acc,val_loss,val_mi_loss
,0.0003039581434773955,1549,,,,,,,,,,,,,,
49,,1549,,,,,,,,0.944444477558136,0.5405317544937134,0.22562973201274872,,,,
49,,1549,,,,,,,,,,,0.6396181583404541,0.24169544875621796,1.4493987560272217,0.2804989218711853
,0.00029547792397256533,1559,,,,,,,,,,,,,,
50,,1559,,,,,,,,1.0,0.4916127622127533,0.3023257255554199,,,,
,0.00029547792397256533,1569,,,,,,,,,,,,,,
50,,1569,,,,,,,,1.0,0.507396936416626,0.3368400037288666,,,,
,0.00029547792397256533,1579,,,,,,,,,,,,,,
50,,1579,,,,,,,,0.96875,0.5215144157409668,0.33685624599456787,,,,
50,,1580,,,,,,,,,,,0.6348448395729065,0.2271558791399002,1.4535354375839233,0.2806667387485504
,0.00028694534248761627,1589,,,,,,,,,,,,,,
51,,1589,,,,,,,,1.0,0.4982888996601105,0.323912113904953,,,,
,0.00028694534248761627,1599,,,,,,,,,,,,,,
51,,1599,,,,,,,,0.984375,0.5050638914108276,0.3065573275089264,,,,
,0.00028694534248761627,1609,,,,,,,,,,,,,,
51,,1609,,,,,,,,1.0,0.4846603274345398,0.31286343932151794,,,,
51,,1611,,,,,,,,,,,0.6276849508285522,0.21161961555480957,1.462378978729248,0.278796523809433
,0.0002783707946587443,1619,,,,,,,,,,,,,,
52,,1619,,,,,,,,0.953125,0.5772301554679871,0.35798168182373047,,,,
,0.0002783707946587443,1629,,,,,,,,,,,,,,
